Date,y
1990-02-05,1200.0
1990-08-03,740.0
1991-01-18,730.0
1991-08-15,690.0
1992-07-22,700.0
1993-03-05,600.0
1993-08-24,600.0
1995-10-31,430.0
1996-04-01,320.0
1997-05-13,282.0
1997-10-20,270.0
1997-11-18,290.0
1997-12-15,250.0
1998-02-23,262.0
1998-03-23,230.0
1998-04-21,160.0
1998-05-20,195.0
1998-06-18,225.0
1998-07-16,230.0
1998-08-26,250.0
1998-09-22,230.0
1999-02-01,240.0
1999-08-20,1300.0
1999-10-01,1400.0
1999-11-26,1250.0
2000-02-25,1040.0
2000-05-25,470.0
2000-08-24,1670.0
2000-11-28,715.0
2001-02-21,1249.0
2001-05-07,860.0
2001-08-03,1035.0
2001-11-06,1874.0
2002-02-01,1649.0
2002-04-11,184.0
2002-08-15,88.0
2002-10-14,102.0
2003-01-16,100.0
2003-04-14,104.0
2003-08-07,151.0
2003-11-11,1.0
2003-11-24,133.0
2004-01-23,120.0
2004-04-19,80.0
2004-10-06,70.0
2005-05-04,48.0
2005-10-06,42.0
2006-05-10,35.0
2006-10-12,30.0
2007-04-09,26.0
2007-10-10,28.0
2008-07-15,30.0
2009-08-10,25.0
2010-08-06,16.0
2011-09-18,12.0
2011-10-21,12.0
2012-01-10,11.0
2012-08-01,11.0
2012-10-22,8.0
2013-01-16,12.0
2013-05-31,15.0
2013-08-29,12.0
2013-10-11,11.0
2014-02-14,10.0
2014-04-30,10.0
2014-08-29,9.0
2014-10-29,10.0
2015-03-05,13.0
2015-05-13,17.0
2015-07-28,14.0
2015-11-13,14.0
2016-02-24,13.0
2016-04-18,15.0
2016-09-10,15.0
2016-11-22,17.0
2017-02-15,14.0
2017-05-04,16.0
2017-08-21,18.0
2017-11-03,18.0
2018-01-26,19.0
2018-05-03,22.0
2018-08-01,24.0
2018-10-10,23.0
2019-02-21,23.0
2019-04-22,21.0
2019-07-15,22.0
2019-10-24,22.0
2020-01-30,19.0
2020-05-19,21.0
2020-09-02,17.0
2020-10-07,18.0
1990-01-04,3.0
1990-02-02,0.5
1990-08-02,0.5
1991-01-18,0.5
1991-08-14,0.5
1992-02-18,3.0
1992-07-22,2.0
1993-03-04,2.0
1993-08-24,2.0
1995-10-31,3.0
1996-04-02,10.0
1997-05-13,12.0
2001-08-08,24.0
2002-07-12,6.0
2002-11-14,8.0
2003-07-08,5.0
2004-08-02,10.0
2005-08-01,10.0
2006-07-11,6.0
2007-08-13,6.0
2008-07-15,7.0
2009-08-10,12.0
2010-08-06,8.0
2011-09-18,7.0
2011-10-18,11.0
2012-01-11,12.0
2012-05-11,8.0
2012-07-31,8.0
2012-10-22,3.0
2013-01-16,6.0
2013-05-07,11.0
2013-08-30,10.0
2013-10-11,7.0
2014-02-13,5.0
2014-04-30,5.0
2014-08-29,4.0
2014-10-29,4.0
2015-01-27,3.0
2015-05-13,5.0
2015-07-28,4.0
2015-11-13,4.0
2016-02-24,4.0
2016-04-18,4.0
2016-09-10,3.7
2016-11-21,3.7
2017-02-14,2.9
2017-05-04,3.2
2017-08-07,3.2
2017-11-02,3.2
2018-03-13,3.0
2018-05-02,3.0
2018-08-02,3.1
2018-10-11,3.3
2019-03-08,3.3
2019-04-22,2.4
2019-07-30,2.4
2019-10-24,2.0
2020-03-02,2.8
2020-05-20,2.9
2020-08-25,2.3
2020-10-14,2.7
2001-05-30,841.0
2001-06-04,1049.0
2001-06-13,1328.0
2001-07-16,1443.0
2001-07-20,1353.0
2001-07-27,1811.0
2001-08-03,2039.0
2001-08-10,2003.0
2001-08-17,1680.0
2001-08-24,3250.0
2001-08-31,1820.0
2001-09-07,1934.0
2001-09-14,1905.0
2001-10-08,1406.0
2001-10-12,1528.0
2001-10-19,1456.0
2002-02-04,1344.0
2002-03-11,1476.0
2002-04-26,1437.0
2002-05-03,1409.0
2002-05-10,1313.0
2002-05-17,1399.0
2002-05-24,1464.0
2002-05-31,1274.0
2002-06-07,1404.0
2002-06-14,1308.0
2002-06-21,1368.0
2002-06-28,1418.0
2002-07-05,1187.0
2002-07-12,1130.0
2002-07-19,1571.0
2002-07-22,1115.0
2002-07-26,1371.0
2002-08-02,1059.0
2002-08-09,1152.0
2002-08-16,1047.0
2002-08-23,941.0
2002-08-30,985.0
2002-09-06,959.0
2002-09-13,1138.0
2002-09-20,831.0
2002-09-27,950.0
2002-10-14,820.0
2003-01-16,852.0
2003-04-14,984.0
2003-05-09,829.0
2003-05-16,881.0
2003-05-23,838.0
2003-05-30,836.0
