ds,y
1986-01-01,0.0
1986-02-01,0.0
1986-03-01,0.0
1986-04-01,0.0
1986-05-01,0.0
1986-06-01,0.0
1986-07-01,0.0
1986-08-01,0.0
1986-09-01,0.0
1986-10-01,0.0
1986-11-01,0.0
1986-12-01,0.0
1987-01-01,0.0
1987-02-01,0.0
1987-03-01,0.0
1987-04-01,0.0
1987-05-01,0.0
1987-06-01,0.0
1987-07-01,0.0
1987-08-01,0.0
1987-09-01,0.0
1987-10-01,0.0
1987-11-01,0.0
1987-12-01,0.0
1988-01-01,0.0
1988-02-01,0.0
1988-03-01,0.0
1988-04-01,0.0
1988-05-01,0.0
1988-06-01,0.0
1988-07-01,0.0
1988-08-01,0.0
1988-09-01,0.0
1988-10-01,0.0
1988-11-01,0.0
1988-12-01,0.0
1989-01-01,0.0
1989-02-01,0.0
1989-03-01,0.0
1989-04-01,0.0
1989-05-01,0.0
1989-06-01,0.0
1989-07-01,0.0
1989-08-01,0.0
1989-09-01,0.0
1989-10-01,0.0
1989-11-01,0.0
1989-12-01,0.0
1990-01-01,0.0
1990-02-01,0.0
1990-03-01,0.0
1990-04-01,0.0
1990-05-01,0.0
1990-06-01,0.0
1990-07-01,0.0
1990-08-01,0.0
1990-09-01,0.0
1990-10-01,0.0
1990-11-01,0.0
1990-12-01,0.0
1991-01-01,0.0
1991-02-01,0.0
1991-03-01,0.0
1991-04-01,0.0
1991-05-01,0.0
1991-06-01,0.0
1991-07-01,0.0
1991-08-01,0.0
1991-09-01,0.0
1991-10-01,0.0
1991-11-01,0.0
1991-12-01,0.0
1992-01-01,0.0
1992-02-01,0.0
1992-03-01,0.0
1992-04-01,0.0
1992-05-01,0.0
1992-06-01,0.0
1992-07-01,0.0
1992-08-01,0.0
1992-09-01,0.0
1992-10-01,0.0
1992-11-01,0.0
1992-12-01,0.0
1993-01-01,0.0
1993-02-01,0.0
1993-03-01,0.0
1993-04-01,0.0
1993-05-01,0.0
1993-06-01,0.0
1993-07-01,0.0
1993-08-01,0.0
1993-09-01,0.0
1993-10-01,0.0
1993-11-01,0.0
1993-12-01,0.0
1994-01-01,0.0
1994-02-01,0.0
1994-03-01,0.0
1994-04-01,0.0
1994-05-01,0.0
1994-06-01,0.0
1994-07-01,0.0
1994-08-01,0.0
1994-09-01,0.0
1994-10-01,0.0
1994-11-01,0.0
1994-12-01,0.0
1995-01-01,0.0
1995-02-01,0.0
1995-03-01,0.0
1995-04-01,0.0
1995-05-01,0.0
1995-06-01,0.0
1995-07-01,0.0
1995-08-01,0.0
1995-09-01,0.0
1995-10-01,0.0
1995-11-01,0.0
1995-12-01,0.0
1996-01-01,0.0
1996-02-01,0.0
1996-03-01,0.0
1996-04-01,0.0
1996-05-01,0.0
1996-06-01,0.0
1996-07-01,0.0
1996-08-01,0.0
1996-09-01,0.0
1996-10-01,0.0
1996-11-01,0.0
1996-12-01,0.0
1997-01-01,0.0
1997-02-01,0.0
1997-03-01,0.0
1997-04-01,0.0
1997-05-01,0.0
1997-06-01,0.0
1997-07-01,0.0
1997-08-01,0.0
1997-09-01,0.0
1997-10-01,0.0
1997-11-01,0.0
1997-12-01,0.0
1998-01-01,0.0
1998-02-01,0.0
1998-03-01,416.747730688244
1998-04-01,555.836161751284
1998-05-01,555.832614224921
1998-06-01,555.78128512537
1998-07-01,555.523405746023
1998-08-01,555.442025129638
1998-09-01,555.856628895456
1998-10-01,556.056336389454
1998-11-01,556.060745742165
1998-12-01,555.811245795405
1999-01-01,555.574043555561
1999-02-01,555.612254706785
1999-03-01,555.868145812031
1999-04-01,556.348747113235
1999-05-01,556.525614354975
1999-06-01,556.538509879916
1999-07-01,556.428513084744
1999-08-01,556.982746840888
1999-09-01,557.957291810835
1999-10-01,559.487896485315
1999-11-01,560.140814194157
1999-12-01,560.256319353722
2000-01-01,560.269660679819
2000-02-01,560.14942816356
2000-03-01,560.062223228219
2000-04-01,560.05136425702
2000-05-01,559.964287042688
2000-06-01,559.697754290183
2000-07-01,559.658483199405
2000-08-01,560.312969759535
2000-09-01,560.450877344254
2000-10-01,560.038857628308
2000-11-01,560.185718116627
2000-12-01,560.449758657292
2001-01-01,560.454363395346
2001-02-01,560.571985028462
2001-03-01,560.88378464347
2001-04-01,561.332598458254
2001-05-01,561.513449545524
2001-06-01,561.876070768898
2001-07-01,562.202328007811
2001-08-01,561.011346409825
2001-09-01,559.433038509491
2001-10-01,559.073228135192
2001-11-01,558.44856017272
2001-12-01,557.298186944182
2002-01-01,554.145462589559
2002-02-01,553.554940848255
2002-03-01,553.389244436066
2002-04-01,553.483787622152
2002-05-01,550.979965237041
2002-06-01,548.722455432464
2002-07-01,553.962041857382
2002-08-01,557.064607524174
2002-09-01,555.785484031449
2002-10-01,555.328834135286
2002-11-01,553.485476574569
2002-12-01,551.509404747468
2003-01-01,550.77115661538
2003-02-01,550.635811851879
2003-03-01,550.178400546998
2003-04-01,549.398092960676
2003-05-01,552.731005343917
2003-06-01,554.670852313567
2003-07-01,555.377718936419
2003-08-01,555.754308975972
2003-09-01,555.114196343646
2003-10-01,553.572837261516
2003-11-01,550.795302854792
2003-12-01,550.206399645415
2004-01-01,550.424528798738
2004-02-01,550.095619475358
2004-03-01,549.346814693212
2004-04-01,547.211846645513
2004-05-01,544.779731000121
2004-06-01,538.988416146245
2004-07-01,536.823552310456
2004-08-01,534.924973794622
2004-09-01,534.532900943878
2004-10-01,533.787511389902
2004-11-01,531.212500930591
2004-12-01,523.797491009613
2005-01-01,521.480577289935
2005-02-01,519.935463576814
2005-03-01,517.930147195593
2005-04-01,515.67606554295
2005-05-01,514.023188772173
2005-06-01,513.423443235414
2005-07-01,512.994156525769
2005-08-01,512.14666597389
2005-09-01,512.271358292795
2005-10-01,512.544575084958
2005-11-01,512.197002299245
2005-12-01,511.173071911963
2006-01-01,508.016933566843
2006-02-01,506.42723458662
2006-03-01,503.459252268768
2006-04-01,500.120016910081
2006-05-01,498.231365604452
2006-06-01,496.19101739929
2006-07-01,495.855512061678
2006-08-01,493.786113975379
2006-09-01,492.767039944083
2006-10-01,492.1739065524
2006-11-01,490.917922842124
2006-12-01,490.131044487492
2007-01-01,490.350316891559
2007-02-01,489.982605869008
2007-03-01,488.458985321026
2007-04-01,486.808571224101
2007-05-01,486.445159286429
2007-06-01,486.974031474874
2007-07-01,486.407904325598
2007-08-01,486.33488771463
2007-09-01,485.591591334505
2007-10-01,484.014993858129
2007-11-01,478.531445306066
2007-12-01,478.217368775296
2008-01-01,477.962774448021
2008-02-01,477.969811830718
2008-03-01,478.483513284806
2008-04-01,479.52115605596
2008-05-01,480.277230933863
2008-06-01,481.012584143167
2008-07-01,481.146719799758
2008-08-01,481.648684323848
2008-09-01,482.388836268908
2008-10-01,484.129112176711
2008-11-01,486.053486245154
2008-12-01,487.494758017361
2009-01-01,492.742613167782
2009-02-01,499.405589024449
2009-03-01,505.920732702928
2009-04-01,511.317373934061
2009-05-01,517.012080373536
2009-06-01,521.706160947489
2009-07-01,523.374280740067
2009-08-01,524.839203717293
2009-09-01,526.185880666018
2009-10-01,526.847957005754
2009-11-01,527.309988144109
2009-12-01,527.887660071708
2010-01-01,528.543671925538
2010-02-01,529.223239487526
2010-03-01,530.746736670389
2010-04-01,532.153854991243
2010-05-01,533.853598795897
2010-06-01,536.133784980205
2010-07-01,536.576254536292
2010-08-01,536.646794170675
2010-09-01,536.844419486012
2010-10-01,537.88015854246
2010-11-01,537.897487621745
2010-12-01,537.969240082063
2011-01-01,537.250890744605
2011-02-01,537.695756019197
2011-03-01,537.995333284479
2011-04-01,538.422149960464
2011-05-01,538.902082362016
2011-06-01,540.097495751299
2011-07-01,540.595275930793
2011-08-01,540.521549169607
2011-09-01,540.190889591125
2011-10-01,539.927143879974
2011-11-01,539.888719196451
2011-12-01,539.663287504269
2012-01-01,539.510000518656
2012-02-01,539.19776730501
2012-03-01,538.728152050713
2012-04-01,537.95404609903
2012-05-01,536.6732651289
2012-06-01,534.704523542804
2012-07-01,532.49271524948
2012-08-01,530.337601205277
2012-09-01,524.711813641032
2012-10-01,523.172876244858
2012-11-01,519.601258270984
2012-12-01,515.404421953898
2013-01-01,514.699512953265
2013-02-01,514.921169679187
2013-03-01,514.516116835591
2013-04-01,513.847266876141
2013-05-01,513.117559265252
2013-06-01,512.901468962853
2013-07-01,513.189504456214
2013-08-01,512.062962001832
2013-09-01,510.257749424814
2013-10-01,510.098999013935
2013-11-01,509.018214996599
2013-12-01,508.178311368469
2014-01-01,508.071048409353
2014-02-01,507.934390475885
2014-03-01,508.071821446389
2014-04-01,507.244283989578
2014-05-01,506.378956242569
2014-06-01,505.920106980032
2014-07-01,505.621102028635
2014-08-01,505.099000737131
2014-09-01,505.519978494668
2014-10-01,504.52647067183
2014-11-01,502.911807588251
2014-12-01,501.943284419033
2015-01-01,502.271002081993
2015-02-01,502.658931293556
2015-03-01,501.971579920758
2015-04-01,502.164106166261
2015-05-01,502.285250383945
2015-06-01,502.382646959758
2015-07-01,502.462396920012
2015-08-01,502.619244585894
2015-09-01,502.784016993903
2015-10-01,502.931545654196
2015-11-01,502.893567736065
2015-12-01,502.893567736065
