ds,y
1986-01-01,0.0
1986-02-01,0.0
1986-03-01,0.0
1986-04-01,0.0
1986-05-01,0.0
1986-06-01,0.0
1986-07-01,0.0
1986-08-01,0.0
1986-09-01,0.0
1986-10-01,0.0
1986-11-01,0.0
1986-12-01,0.0
1987-01-01,0.0
1987-02-01,0.0
1987-03-01,0.0
1987-04-01,0.0
1987-05-01,0.0
1987-06-01,0.0
1987-07-01,0.0
1987-08-01,0.0
1987-09-01,0.0
1987-10-01,0.0
1987-11-01,0.0
1987-12-01,0.0
1988-01-01,0.0
1988-02-01,0.0
1988-03-01,0.0
1988-04-01,0.0
1988-05-01,0.0
1988-06-01,0.0
1988-07-01,0.0
1988-08-01,0.0
1988-09-01,0.0
1988-10-01,0.0
1988-11-01,0.0
1988-12-01,0.0
1989-01-01,0.0
1989-02-01,0.0
1989-03-01,0.0
1989-04-01,0.0
1989-05-01,0.0
1989-06-01,0.0
1989-07-01,0.0
1989-08-01,0.0
1989-09-01,0.0
1989-10-01,0.0
1989-11-01,0.0
1989-12-01,0.0
1990-01-01,0.0
1990-02-01,0.0
1990-03-01,0.0
1990-04-01,0.0
1990-05-01,0.0
1990-06-01,0.0
1990-07-01,0.0
1990-08-01,0.0
1990-09-01,0.0
1990-10-01,0.0
1990-11-01,0.0
1990-12-01,0.0
1991-01-01,0.0
1991-02-01,0.0
1991-03-01,0.0
1991-04-01,0.0
1991-05-01,0.0
1991-06-01,0.0
1991-07-01,0.0
1991-08-01,0.0
1991-09-01,0.0
1991-10-01,0.0
1991-11-01,0.0
1991-12-01,0.0
1992-01-01,0.0
1992-02-01,0.0
1992-03-01,0.0
1992-04-01,0.0
1992-05-01,0.0
1992-06-01,0.0
1992-07-01,0.0
1992-08-01,0.0
1992-09-01,0.0
1992-10-01,0.0
1992-11-01,0.0
1992-12-01,0.0
1993-01-01,0.0
1993-02-01,0.0
1993-03-01,0.0
1993-04-01,0.0
1993-05-01,0.0
1993-06-01,0.0
1993-07-01,0.0
1993-08-01,0.0
1993-09-01,0.0
1993-10-01,0.0
1993-11-01,0.0
1993-12-01,0.0
1994-01-01,0.0
1994-02-01,0.0
1994-03-01,0.0
1994-04-01,0.0
1994-05-01,0.0
1994-06-01,0.0
1994-07-01,0.0
1994-08-01,0.0
1994-09-01,0.0
1994-10-01,0.0
1994-11-01,0.0
1994-12-01,0.0
1995-01-01,0.0
1995-02-01,0.0
1995-03-01,0.0
1995-04-01,0.0
1995-05-01,0.0
1995-06-01,0.0
1995-07-01,0.0
1995-08-01,0.0
1995-09-01,0.0
1995-10-01,0.0
1995-11-01,0.0
1995-12-01,0.0
1996-01-01,0.0
1996-02-01,0.0
1996-03-01,0.0
1996-04-01,0.0
1996-05-01,0.0
1996-06-01,0.0
1996-07-01,0.0
1996-08-01,0.0
1996-09-01,0.0
1996-10-01,0.0
1996-11-01,0.0
1996-12-01,0.0
1997-01-01,0.0
1997-02-01,0.0
1997-03-01,0.0
1997-04-01,0.0
1997-05-01,0.0
1997-06-01,0.0
1997-07-01,0.0
1997-08-01,0.0
1997-09-01,0.0
1997-10-01,0.0
1997-11-01,0.0
1997-12-01,0.0
1998-01-01,0.0
1998-02-01,0.0
1998-03-01,0.0
1998-04-01,0.0
1998-05-01,0.0
1998-06-01,0.0
1998-07-01,0.0
1998-08-01,0.0
1998-09-01,0.0
1998-10-01,0.0
1998-11-01,0.0
1998-12-01,0.0
1999-01-01,0.0
1999-02-01,0.0
1999-03-01,0.0
1999-04-01,0.0
1999-05-01,0.0
1999-06-01,0.0
1999-07-01,0.0
1999-08-01,0.0
1999-09-01,0.0
1999-10-01,0.0
1999-11-01,0.0
1999-12-01,0.0
2000-01-01,0.0
2000-02-01,0.0
2000-03-01,0.0
2000-04-01,0.0
2000-05-01,0.0
2000-06-01,0.0
2000-07-01,0.0
2000-08-01,0.0
2000-09-01,0.0
2000-10-01,0.0
2000-11-01,0.0
2000-12-01,0.0
2001-01-01,0.0
2001-02-01,0.0
2001-03-01,0.0
2001-04-01,0.0
2001-05-01,0.0
2001-06-01,0.0
2001-07-01,0.0
2001-08-01,0.0
2001-09-01,0.0
2001-10-01,0.0
2001-11-01,0.0
2001-12-01,0.0
2002-01-01,0.0
2002-02-01,0.0
2002-03-01,0.0
2002-04-01,0.0
2002-05-01,0.0
2002-06-01,0.0
2002-07-01,0.0
2002-08-01,0.0
2002-09-01,0.0
2002-10-01,0.0
2002-11-01,0.0
2002-12-01,0.0
2003-01-01,0.0
2003-02-01,0.0
2003-03-01,0.0
2003-04-01,0.0
2003-05-01,0.0
2003-06-01,0.0
2003-07-01,0.0
2003-08-01,0.0
2003-09-01,0.0
2003-10-01,0.0
2003-11-01,0.0
2003-12-01,0.0
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,0.0
2004-06-01,0.0
2004-07-01,0.74633037569804
2004-08-01,3.54341907946867
2004-09-01,3.52952604856313
2004-10-01,3.52163867789844
2004-11-01,3.51796961008879
2004-12-01,3.53563102901649
2005-01-01,3.56093451904623
2005-02-01,3.47507354815507
2005-03-01,3.15464535907638
2005-04-01,3.16290044852446
2005-05-01,3.16799903479584
2005-06-01,3.16809439510359
2005-07-01,3.16784018069205
2005-08-01,3.16685314045369
2005-09-01,3.1648949643396
2005-10-01,3.16895536313356
2005-11-01,3.23528090395456
2005-12-01,3.39284773552874
2006-01-01,3.57006287733047
2006-02-01,4.02719005193678
2006-03-01,4.27631787631006
2006-04-01,4.67773498411017
2006-05-01,4.83842213915064
2006-06-01,5.02754338628815
2006-07-01,5.18947257808593
2006-08-01,5.53796135356013
2006-09-01,5.55030060432553
2006-10-01,5.57532136937716
2006-11-01,5.61288631850694
2006-12-01,5.63316165541307
2007-01-01,5.6415195440922
2007-02-01,5.63691085675677
2007-03-01,5.63296353824294
2007-04-01,10.2504506883258
2007-05-01,10.191660265975
2007-06-01,10.1402550110491
2007-07-01,10.1043173492397
2007-08-01,10.0885319966661
2007-09-01,10.0909438562443
2007-10-01,10.159179213363
2007-11-01,10.3869024704317
2007-12-01,10.5151767182135
2008-01-01,10.5414276729035
2008-02-01,10.5884026302538
2008-03-01,10.6682627228143
2008-04-01,10.7019842091407
2008-05-01,10.870780079302
2008-06-01,11.1813986585667
2008-07-01,11.2334947125106
2008-08-01,11.3052671906297
2008-09-01,11.3057694041746
2008-10-01,11.3188221208389
2008-11-01,11.3472148562127
2008-12-01,11.3583914792373
2009-01-01,11.3874194906255
2009-02-01,11.5152258915682
2009-03-01,11.7151240389154
2009-04-01,12.1499672362223
2009-05-01,12.1622126185036
2009-06-01,12.1665041026863
2009-07-01,12.1712193848107
2009-08-01,12.2414149160393
2009-09-01,12.8121746749961
2009-10-01,13.0098937190377
2009-11-01,13.0373676467809
2009-12-01,13.0314340138127
2010-01-01,13.0595744097075
2010-02-01,13.0779795838659
2010-03-01,13.1647115152293
2010-04-01,13.3329446902663
2010-05-01,13.3854752943653
2010-06-01,13.3884278598112
2010-07-01,13.4287428450385
2010-08-01,13.4632819888354
2010-09-01,13.4717729683642
2010-10-01,13.4831165470509
2010-11-01,13.4978152869698
2010-12-01,13.4919326818662
2011-01-01,13.5185563940591
2011-02-01,13.4669910308627
2011-03-01,13.3098291483483
2011-04-01,12.8300011360631
2011-05-01,12.7208534355051
2011-06-01,12.7208534355051
2011-07-01,12.7208534355051
2011-08-01,12.7208534355051
2011-09-01,12.7460315481645
2011-10-01,12.8189004775214
2011-11-01,12.8775779622704
2011-12-01,12.8852208522635
2012-01-01,12.9315981590859
2012-02-01,13.0527274049107
2012-03-01,13.0677085484391
2012-04-01,13.1496440618304
2012-05-01,13.3668171181624
2012-06-01,13.6853370402026
2012-07-01,13.7101913177476
2012-08-01,13.8303892230491
2012-09-01,13.8558073029211
2012-10-01,13.8542822289128
2012-11-01,13.9248668812053
2012-12-01,14.091446618715
2013-01-01,14.2409121753109
2013-02-01,14.6309098257534
2013-03-01,14.7496130780234
2013-04-01,14.7872159719728
2013-05-01,14.8200500293615
2013-06-01,14.847415915233
2013-07-01,14.847415915233
2013-08-01,14.8476383069869
2013-09-01,14.8372614059864
2013-10-01,14.8653009982404
2013-11-01,14.8728061413966
2013-12-01,14.8743099562825
2014-01-01,14.8899213891323
2014-02-01,14.9084888888118
2014-03-01,14.9090491623657
2014-04-01,14.9126442596501
2014-05-01,14.9192735802781
2014-06-01,14.9288980964647
2014-07-01,14.9317434956087
2014-08-01,14.9611526925385
2014-09-01,15.0009204468352
2014-10-01,15.0261368393405
2014-11-01,15.0305963269143
2014-12-01,15.0361685301274
2015-01-01,15.0412083057057
2015-02-01,15.047229583189
2015-03-01,15.0476542330016
2015-04-01,15.048808760475
2015-05-01,15.049504647646
2015-06-01,15.060424463769
2015-07-01,15.0954241177422
2015-08-01,15.1329266278623
2015-09-01,15.1494822633196
2015-10-01,15.2079411970972
2015-11-01,15.2117989555338
2015-12-01,15.2130848750127
2016-01-01,15.2118179674419
2016-02-01,15.2226257545257
2016-03-01,15.2347883857316
2016-04-01,15.2438104864472
2016-05-01,15.2446475222104
2016-06-01,15.2470710347918
2016-07-01,15.2653236172959
2016-08-01,15.2705275455394
2016-09-01,15.2908240621388
2016-10-01,15.2981419291884
2016-11-01,15.3185529013341
2016-12-01,15.3202414966779
2017-01-01,15.3690753960936
2017-02-01,15.3798251413319
2017-03-01,15.3831441751674
2017-04-01,15.3752559671364
2017-05-01,15.3536004100414
2017-06-01,15.3830299639097
2017-07-01,15.4306960888018
2017-08-01,15.4472118315837
2017-09-01,15.4511019642898
2017-10-01,15.4432959167539
2017-11-01,15.4412261845025
2017-12-01,15.4043842491216
2018-01-01,15.3972521394588
2018-02-01,15.4101158451863
2018-03-01,15.4184463770197
2018-04-01,15.4213340855821
2018-05-01,15.4213340855821
2018-06-01,15.4158174119557
2018-07-01,15.3870871611603
2018-08-01,15.3861917966947
2018-09-01,15.4062334414747
2018-10-01,15.3913911253754
2018-11-01,15.3631806755129
2018-12-01,15.3471368744135
2019-01-01,15.3411717128492
2019-02-01,15.3257406609632
2019-03-01,15.3139006456808
2019-04-01,15.3063469151873
2019-05-01,15.2879261357878
2019-06-01,15.288180856034
2019-07-01,15.2889450167724
2019-08-01,15.2889450167724
2019-09-01,15.2889450167724
2019-10-01,15.2889450167724
2019-11-01,15.2889450167724
2019-12-01,15.2889450167724
