ds,y
1986-01-01,21283.7340628991
1986-02-01,21283.7340628991
1986-03-01,21283.7340628991
1986-04-01,21283.7340628991
1986-05-01,21283.7340628991
1986-06-01,21283.7340628991
1986-07-01,21283.7340628991
1986-08-01,21283.7340628991
1986-09-01,21283.7340628991
1986-10-01,21283.7340628991
1986-11-01,21283.7340628991
1986-12-01,21283.7340628991
1987-01-01,21283.7340628991
1987-02-01,21283.7340628991
1987-03-01,21283.7340628991
1987-04-01,21284.9181664811
1987-05-01,21288.4704772269
1987-06-01,21288.4704772269
1987-07-01,21290.1432278638
1987-08-01,21292.6523538192
1987-09-01,21289.9772959507
1987-10-01,21330.5128016437
1987-11-01,21391.4884174594
1987-12-01,21391.4884174594
1988-01-01,21412.4175616364
1988-02-01,21439.9393094867
1988-03-01,21450.40952981
1988-04-01,21463.2054627697
1988-05-01,21483.0890901491
1988-06-01,21484.4143822811
1988-07-01,21494.4284890112
1988-08-01,21489.6003149035
1988-09-01,21457.4469935291
1988-10-01,21422.2691255106
1988-11-01,21175.8349750021
1988-12-01,20834.5603031317
1989-01-01,20654.7043951077
1989-02-01,20563.7000618734
1989-03-01,20480.3587890361
1989-04-01,20425.2570456005
1989-05-01,20406.7205148244
1989-06-01,20244.1935412036
1989-07-01,20089.1017668201
1989-08-01,19970.9073491786
1989-09-01,19725.3204280072
1989-10-01,19595.9800447595
1989-11-01,19492.3533299469
1989-12-01,19440.0372949975
1990-01-01,19453.9789598607
1990-02-01,19823.3168166708
1990-03-01,19809.6180469098
1990-04-01,19788.9103961305
1990-05-01,19762.4694379978
1990-06-01,19672.9557760478
1990-07-01,20025.7607028087
1990-08-01,20215.5998625036
1990-09-01,20219.6245406865
1990-10-01,20260.0317515568
1990-11-01,20499.7808094012
1990-12-01,20507.8232155381
1991-01-01,20589.4527595524
1991-02-01,21028.0284812997
1991-03-01,21029.2927877807
1991-04-01,21005.2516361532
1991-05-01,21110.4047404407
1991-06-01,21120.9896286458
1991-07-01,21121.053547052
1991-08-01,21160.9342361971
1991-09-01,21220.6593923055
1991-10-01,21220.6593923055
1991-11-01,21309.8895722772
1991-12-01,21292.7958375363
1992-01-01,21419.0088258131
1992-02-01,21764.9243704121
1992-03-01,21764.9243704121
1992-04-01,21803.2914458136
1992-05-01,21972.8237405183
1992-06-01,22056.2283910833
1992-07-01,22154.2742602733
1992-08-01,22228.7562431451
1992-09-01,22237.2571876869
1992-10-01,22237.4738575055
