ds,y
1986-01-01,37235.8761126527
1986-02-01,37235.8761126527
1986-03-01,37235.8761126527
1986-04-01,37235.8761126527
1986-05-01,37233.0445790633
1986-06-01,37228.7972786792
1986-07-01,37228.7972786792
1986-08-01,37228.7972786792
1986-09-01,37228.7972786792
1986-10-01,37228.7972786792
1986-11-01,37228.7972786792
1986-12-01,37233.5319804891
1987-01-01,37239.8459980053
1987-02-01,37208.2856463505
1987-03-01,37208.2856463505
1987-04-01,37211.6946582559
1987-05-01,37221.9216939724
1987-06-01,37221.9216939724
1987-07-01,37220.7921853385
1987-08-01,37219.0979223877
1987-09-01,37219.6905126356
1987-10-01,37282.953114114
1987-11-01,37377.4295950629
1987-12-01,37377.4295950629
1988-01-01,37347.3269150353
1988-02-01,37331.042490298
1988-03-01,37331.042490298
1988-04-01,37352.0546864403
1988-05-01,37399.8949376483
1988-06-01,37441.7039945533
1988-07-01,37459.7302231552
1988-08-01,37504.5901944512
1988-09-01,37532.3648263844
1988-10-01,37525.0717488664
1988-11-01,37275.4988043453
1988-12-01,36999.7004703489
1989-01-01,36928.942942753
1989-02-01,36875.4313472699
1989-03-01,36795.3068690003
1989-04-01,36547.2106634036
1989-05-01,36476.4821487265
1989-06-01,36414.2693299622
1989-07-01,36284.7544205261
1989-08-01,36151.5623518496
1989-09-01,35800.6178443644
1989-10-01,35600.9282241163
1989-11-01,35141.7999100523
1989-12-01,34648.7940319726
1990-01-01,32471.8419466467
1990-02-01,30822.3891399885
1990-03-01,30695.6124988528
1990-04-01,30558.7265586304
1990-05-01,30486.8626690611
1990-06-01,29805.709558048
1990-07-01,27414.1656780147
1990-08-01,26501.228845192
1990-09-01,26477.9806775163
1990-10-01,26427.8762002021
1990-11-01,25735.6416910845
1990-12-01,25730.1483793867
1991-01-01,25473.8718554691
1991-02-01,24897.5120677451
1991-03-01,24769.5837471664
1991-04-01,24705.0172712753
1991-05-01,24541.076149354
1991-06-01,24444.1619483928
1991-07-01,24439.1442467103
1991-08-01,24291.0865077534
1991-09-01,24077.4652490359
1991-10-01,24009.3836461306
1991-11-01,24024.1678297248
1991-12-01,23955.2381372562
1992-01-01,23988.8523925928
1992-02-01,24037.938000937
1992-03-01,23949.880474496
1992-04-01,23851.8914920994
1992-05-01,23573.6370100324
1992-06-01,23364.6656939303
1992-07-01,23090.9253107902
1992-08-01,23091.2799398545
1992-09-01,23102.9661314502
1992-10-01,23074.0937364556
1992-11-01,23056.1628990434
1992-12-01,23046.8619710377
1993-01-01,22982.6155927032
1993-02-01,22930.8315806381
1993-03-01,22944.361785703
1993-04-01,22941.2161797073
1993-05-01,22928.9150934931
1993-06-01,22881.8633509102
1993-07-01,22872.239603297
1993-08-01,22794.1089606309
1993-09-01,22782.2532148198
1993-10-01,22768.63048311
1993-11-01,22711.9201583919
1993-12-01,22695.6767161673
1994-01-01,22874.6477783702
1994-02-01,23011.9328242211
1994-03-01,22956.1799958822
1994-04-01,22941.2603454668
1994-05-01,22421.4391217753
1994-06-01,21893.7392185869
1994-07-01,20906.0329368011
1994-08-01,20893.0474761506
1994-09-01,20698.9942708937
1994-10-01,20036.3948762989
1994-11-01,19673.0763374519
1994-12-01,19657.9491899701
1995-01-01,19616.9802332213
1995-02-01,19605.5347250013
1995-03-01,19480.6793109528
1995-04-01,19104.4388778395
1995-05-01,19063.7266427263
1995-06-01,19038.108799206
1995-07-01,18971.1231841878
1995-08-01,18970.301760174
1995-09-01,18967.7250240863
1995-10-01,18964.9726929144
1995-11-01,18964.9726929144
