ds,y
1986-01-01,14873.8980168484
1986-02-01,14873.8980168484
1986-03-01,14873.8980168484
1986-04-01,14868.0428323593
1986-05-01,14868.0428323593
1986-06-01,14868.0428323593
1986-07-01,14868.0428323593
1986-08-01,14868.0428323593
1986-09-01,14868.0428323593
1986-10-01,14868.0428323593
1986-11-01,14868.0428323593
1986-12-01,14869.6198644469
1987-01-01,14875.7390080718
1987-02-01,14875.3101049602
1987-03-01,14875.3101049602
1987-04-01,14875.9326416181
1987-05-01,14877.5605251765
1987-06-01,14877.5605251765
1987-07-01,14877.0941843117
1987-08-01,14876.3946730145
1987-09-01,14907.8898653592
1987-10-01,14926.8852989922
1987-11-01,14958.3688025093
1987-12-01,14958.3688025093
1988-01-01,14968.0808955721
1988-02-01,14979.5495421419
1988-03-01,14982.3369078188
1988-04-01,14984.8337294302
1988-05-01,15031.7096685508
1988-06-01,15050.2669417038
1988-07-01,15051.2701052208
1988-08-01,15071.5609375484
1988-09-01,15083.8766267196
1988-10-01,15077.1405745968
1988-11-01,15008.5595450407
1988-12-01,14924.9780029611
1989-01-01,14907.3526836409
1989-02-01,14868.2059376969
1989-03-01,14827.7947776612
1989-04-01,14849.9526829822
1989-05-01,14804.8448302283
1989-06-01,14729.0239157852
1989-07-01,14587.3278897727
1989-08-01,14478.533591859
1989-09-01,14321.6027455091
1989-10-01,14267.4132595715
1989-11-01,14106.220286252
1989-12-01,14011.6040137657
1990-01-01,13243.8011017616
1990-02-01,12434.1901297132
1990-03-01,12386.5565635027
1990-04-01,12277.753401703
1990-05-01,12090.2532205085
1990-06-01,11637.8021137546
1990-07-01,10426.2577123976
1990-08-01,10037.1899721131
1990-09-01,10009.5817808527
1990-10-01,9863.81185747107
1990-11-01,9453.82730730746
1990-12-01,9435.58204269636
1991-01-01,9250.03113778643
1991-02-01,8624.85993947084
1991-03-01,8565.35274596489
1991-04-01,8495.66487736984
1991-05-01,8340.97796377281
1991-06-01,8307.67594835801
1991-07-01,8299.63907117842
1991-08-01,8277.31030487196
1991-09-01,8247.29271399529
1991-10-01,8236.82714659994
1991-11-01,8029.43818557951
1991-12-01,8020.86327208624
1992-01-01,8017.91092959584
1992-02-01,7972.96504504891
1992-03-01,7971.08621439818
1992-04-01,7956.50454433949
1992-05-01,7860.87234846609
1992-06-01,7800.93433951241
1992-07-01,7730.66913380332
1992-08-01,7671.01103039501
1992-09-01,7663.62830935198
1992-10-01,7666.89188194949
1992-11-01,7655.6277817528
1992-12-01,7655.43563720314
1993-01-01,7654.29204277418
1993-02-01,7654.45313302149
1993-03-01,7609.01115186231
1993-04-01,7610.02205192721
1993-05-01,7596.07775910389
1993-06-01,7531.60476320416
1993-07-01,7570.05998524478
1993-08-01,7556.49902806414
1993-09-01,7539.46171556626
1993-10-01,7529.94614404915
1993-11-01,7522.4885736442
1993-12-01,7500.78991192696
1994-01-01,7535.09391424631
1994-02-01,7524.76361351624
1994-03-01,7475.84990670661
1994-04-01,7469.35179502322
1994-05-01,7370.52664880092
1994-06-01,7183.04964876851
1994-07-01,6686.21628356616
1994-08-01,6649.1643117842
1994-09-01,6526.92061530125
1994-10-01,6260.33907376904
1994-11-01,6165.72919599551
1994-12-01,6154.12088354869
1995-01-01,6129.50595838686
1995-02-01,6126.22200421714
1995-03-01,6106.64821286387
1995-04-01,6062.41525147402
1995-05-01,6048.20261992959
1995-06-01,6046.35459743308
1995-07-01,6042.76413188326
1995-08-01,6039.65127654757
1995-09-01,6037.88329791795
1995-10-01,6025.9655628796
1995-11-01,6024.56699506049
1995-12-01,6022.35127579474
1996-01-01,6023.35713698198
1996-02-01,6023.99062571124
1996-03-01,6013.55685914439
1996-04-01,6005.92891729918
1996-05-01,6008.34192560836
1996-06-01,6007.10822439642
1996-07-01,5999.70833395889
1996-08-01,5992.13499852548
1996-09-01,5988.06563233739
1996-10-01,5984.40325085436
1996-11-01,6050.35772964164
1996-12-01,6052.52485294305
1997-01-01,6035.02416342825
1997-02-01,6005.95619388523
1997-03-01,5994.81374530408
1997-04-01,5985.97788079918
1997-05-01,5985.42257738353
1997-06-01,5985.28906682998
1997-07-01,5965.17200544536
1997-08-01,5959.03823714488
1997-09-01,5954.06590157458
1997-10-01,5945.26500694085
1997-11-01,5928.2400291138
1997-12-01,5943.21630092253
1998-01-01,5939.54668226725
1998-02-01,5933.93301220417
1998-03-01,5945.00050437859
1998-04-01,5950.29166051982
1998-05-01,5935.33015067368
1998-06-01,5944.17094461349
1998-07-01,5895.75433895919
1998-08-01,5846.59016019211
1998-09-01,5796.86482600964
1998-10-01,5670.57429544289
1998-11-01,5629.34041776523
1998-12-01,5562.6250745169
1999-01-01,5548.82852752586
1999-02-01,5538.22657468396
1999-03-01,5507.206887591
1999-04-01,5511.64924860952
1999-05-01,5615.99434406244
1999-06-01,5723.84066650419
1999-07-01,5732.84439220975
1999-08-01,5790.92954464867
1999-09-01,5782.99967213681
1999-10-01,5789.89003680383
1999-11-01,5822.83013184983
1999-12-01,6104.13848869871
2000-01-01,6209.81042514932
2000-02-01,7289.47875494234
2000-03-01,7729.19449433554
2000-04-01,7808.31632046786
2000-05-01,8118.87211925427
2000-06-01,10614.6329000263
2000-07-01,11229.1407728788
2000-08-01,11264.4191859231
2000-09-01,11309.2148337307
2000-10-01,11324.7235627849
2000-11-01,11340.679946932
2000-12-01,11355.8992344506
2001-01-01,11366.9422840776
2001-02-01,11531.8187961998
2001-03-01,10996.5038696693
2001-04-01,9787.32519875913
