ds,y
1986-01-01,22823.9855388905
1986-02-01,22823.9855388905
1986-03-01,22823.9855388905
1986-04-01,22823.9855388905
1986-05-01,22823.9855388905
1986-06-01,22823.9855388905
1986-07-01,22823.9855388905
1986-08-01,22823.9855388905
1986-09-01,22823.9855388905
1986-10-01,22823.9855388905
1986-11-01,22823.9855388905
1986-12-01,22839.5266432876
1987-01-01,22864.018050146
1987-02-01,22900.7551604336
1987-03-01,22948.2802059472
1987-04-01,22949.9964025125
1987-05-01,22955.1449922081
1987-06-01,22955.1449922081
1987-07-01,22955.1449922081
1987-08-01,22960.9810553293
1987-09-01,22984.5038640967
1987-10-01,23025.1528182246
1987-11-01,23160.013746266
1987-12-01,23160.013746266
1988-01-01,23201.8183585702
1988-02-01,23236.0091647526
1988-03-01,23236.0091647526
1988-04-01,23296.4680523224
1988-05-01,23425.2497257251
1988-06-01,23430.1604550506
1988-07-01,23430.1604550506
1988-08-01,23350.7573494458
1988-09-01,23136.8039847061
1988-10-01,23037.391475225
1988-11-01,23004.9089333674
1988-12-01,22754.4183636374
1989-01-01,22710.7611523119
1989-02-01,22622.8885785658
1989-03-01,22505.6197134007
1989-04-01,22275.4638221307
1989-05-01,22269.5135596623
1989-06-01,22182.1330030374
1989-07-01,22012.5640394612
1989-08-01,21816.2614386523
1989-09-01,21604.7761438124
1989-10-01,21218.2465095436
1989-11-01,20972.9442682538
1989-12-01,20881.5446742797
1990-01-01,20900.2895855901
1990-02-01,20901.5394267333
1990-03-01,20839.6535249543
1990-04-01,20828.9804861785
1990-05-01,20741.9746239038
1990-06-01,20717.6003250951
1990-07-01,21087.1130187277
1990-08-01,21181.2749447448
1990-09-01,21173.0397036629
1990-10-01,21093.4611051129
1990-11-01,21477.6102293115
1990-12-01,21477.6102293115
1991-01-01,21519.8145664394
1991-02-01,21634.0607447906
1991-03-01,21627.598451949
1991-04-01,21606.6337431174
1991-05-01,21656.7307590934
1991-06-01,21675.8880763899
1991-07-01,21696.222185123
1991-08-01,21838.0228240929
1991-09-01,21993.7177242647
1991-10-01,21989.4142540688
1991-11-01,22001.2065666123
1991-12-01,21982.3601998099
1992-01-01,22038.5822937715
1992-02-01,22122.9097883479
1992-03-01,22121.2044822484
1992-04-01,22156.0882312617
1992-05-01,22221.4444775653
1992-06-01,22305.4515409066
1992-07-01,22526.2478024011
1992-08-01,22645.0382673702
1992-09-01,22648.6887935049
1992-10-01,22662.678120086
1992-11-01,22621.7832534779
1992-12-01,22582.0073270187
1993-01-01,22594.5370849124
1993-02-01,22591.8198234671
1993-03-01,23229.9928006894
1993-04-01,23229.027226264
1993-05-01,23236.3019809248
1993-06-01,23222.998558583
1993-07-01,23234.7194858428
1993-08-01,23316.8889785633
1993-09-01,23409.9830875336
1993-10-01,23497.7521955547
1993-11-01,23645.1664795884
1993-12-01,23681.2283249821
1994-01-01,23818.2310236066
1994-02-01,23983.8517305272
1994-03-01,24209.2814445654
1994-04-01,24572.6565367423
1994-05-01,24572.6565367423
1994-06-01,24590.5987196
1994-07-01,24684.3478041651
1994-08-01,24698.4517151054
1994-09-01,24228.3733394332
1994-10-01,22989.0322006694
1994-11-01,22323.3435978777
1994-12-01,22169.6242679523
1995-01-01,22057.717645544
