ds,y
1986-01-01,10546.4347620966
1986-02-01,10546.4347620966
1986-03-01,10546.4347620966
1986-04-01,10546.4347620966
1986-05-01,10546.4347620966
1986-06-01,10546.4347620966
1986-07-01,10546.4347620966
1986-08-01,10530.1937376425
1986-09-01,10530.1937376425
1986-10-01,10530.1937376425
1986-11-01,10530.1937376425
1986-12-01,10530.341410159
1987-01-01,10537.1563457983
1987-02-01,10547.3787492573
1987-03-01,10547.5916973177
1987-04-01,10554.1624867763
1987-05-01,10571.9583226086
1987-06-01,10571.9583226086
1987-07-01,10571.9583226086
1987-08-01,10571.6280803262
1987-09-01,10567.4508714
1987-10-01,10567.4634436173
1987-11-01,10583.13935513
1987-12-01,10583.13935513
1988-01-01,10587.3233934688
1988-02-01,10590.1127523613
1988-03-01,10590.1127523613
1988-04-01,10603.4494409743
1988-05-01,10623.8203986281
1988-06-01,10623.8203986281
1988-07-01,10623.8203986281
1988-08-01,10370.748511659
1988-09-01,10109.3930788311
1988-10-01,10104.4037457721
1988-11-01,10104.4037457721
1988-12-01,9970.46440896329
1989-01-01,9948.980637656
1989-02-01,9969.88007065626
1989-03-01,9940.55245893765
1989-04-01,9374.91051394352
1989-05-01,9374.54461679405
1989-06-01,9355.58294983127
1989-07-01,9145.58288075888
1989-08-01,9018.43843989693
1989-09-01,9019.20163786663
1989-10-01,8996.23520895479
1989-11-01,8689.40893531161
1989-12-01,8615.42941634563
1990-01-01,8025.76532187098
1990-02-01,7679.47559366968
1990-03-01,7672.60183988568
1990-04-01,7657.38041919953
1990-05-01,7347.66458163942
1990-06-01,7199.41334045114
1990-07-01,6644.68446276213
1990-08-01,6351.98256529222
1990-09-01,6341.0206735005
1990-10-01,6300.41501830782
1990-11-01,6019.86550130249
1990-12-01,5988.53991182117
1991-01-01,5951.26994384043
1991-02-01,5800.3782182001
1991-03-01,5786.46945571218
1991-04-01,5783.30735874001
1991-05-01,5623.31795868957
1991-06-01,5585.94424415815
1991-07-01,5586.00001721858
1991-08-01,5568.26996021317
1991-09-01,5549.88373532105
1991-10-01,5548.45304402362
1991-11-01,5490.28749626249
1991-12-01,5489.69049897726
1992-01-01,5493.19475866583
1992-02-01,5391.06172139103
1992-03-01,5391.06172139103
1992-04-01,5382.09597354611
1992-05-01,5185.74453001211
1992-06-01,5107.65312399216
1992-07-01,5079.99863297101
1992-08-01,5023.11291475627
1992-09-01,4959.89778823147
1992-10-01,4954.63105071283
1992-11-01,4845.67402335235
1992-12-01,4787.43350177027
1993-01-01,4786.24468651769
1993-02-01,4758.5244653729
1993-03-01,4683.63874972263
1993-04-01,4683.63874972263
1993-05-01,4683.53686456778
1993-06-01,4633.35514148938
1993-07-01,4628.89610275523
1993-08-01,4611.45338091316
