,Unnamed: 0,WellName,y_pred_1_date,y_pred_1_value,y_ture_1_date,y_true_1_value,y_pred_2_date,y_pred_2_value,y_ture_2_date,y_true_2_value,y_pred_3_date,y_pred_3_value,y_ture_3_date,y_true_3_value,y_pred_4_date,y_pred_4_value,y_ture_4_date,y_true_4_value,y_pred_5_date,y_pred_5_value,y_ture_5_date,y_true_5_value,rmse
0,0,MW-112d,2016-12-31,0.5,2017,0.625,2017-12-31,0.5,2018,0.8,2018-12-31,0.5,2019,0.5,2019-12-31,0.5,2020,0.75,2020-12-31,0.5,2020-11-04,0.5,0.033625
1,1,MW-61d,2016-12-31,1.3372380696611188,2017,5.4,2017-12-31,1.4137545874425652,2018,6.5,2018-12-31,1.4902711052240112,2019,6.3,2019-12-31,1.5667876230054572,2020,9.25,2020-12-31,2.3888081062045865,2020-12-14,10.0,36.49428268295894
2,2,MW-42s,2016-12-31,0.5,2017,0.5,2017-12-31,0.5,2018,0.5,2018-12-31,0.5,2019,0.5,2019-12-31,0.5,2020,0.5,2020-12-31,0.5,2020-08-07,0.5,0.0
3,3,SW-1M,2006-12-31,0.1822944567310795,2007,0.5,2007-12-31,0.0138243257190356,2008,0.5,2008-12-31,0.006470700676264,2009,0.5,2009-12-31,0.003028716777423,2010,0.5,2010-12-31,0.0014176401871736,2010-08-05,0.5,0.21528791872834993
4,4,593 Allison,2011-12-31,657.7045211194187,2012,376.5,2012-12-31,726.3948860899094,2013,330.0,2013-12-31,795.7751897310609,2014,200.0,2014-12-31,865.5718154650684,2015,135.0,2015-12-31,935.538620668596,2015-11-23,160.0,345269.65896315797
5,5,AMW-1,2016-12-31,330.0,2017,300.0,2017-12-31,330.0,2018,320.0,2018-12-31,330.0,2019,340.0,2019-12-31,330.0,2020,250.0,2020-12-31,330.0,2020-08-21,250.0,2780.0
6,6,MW-84s,2017-12-31,186.9200045413164,2018,48.80833333333333,2018-12-31,294.86642312268515,2019,71.47500000000001,2019-12-31,402.81284169763416,2020,225.33333333333331,,,,,,,,,
7,7,MW-82d,2012-12-31,1.3312702455692491,2013,0.5,2013-12-31,1.7079156896559209,2014,2.0,2014-12-31,2.069722372269425,2015,2.0,2015-12-31,2.4051612309219608,2016,0.5,2016-12-31,2.793909066411328,2016-09-12,0.5,1.9345685590969968
8,8,2950 Valley,2007-12-31,0.5,2007-08-09,0.5,2008-12-31,0.5,2007-08-09,0.5,2009-12-31,0.5,2012-01-09,0.5,2010-12-31,0.5,2012-01-09,0.5,2011-12-31,0.5,2012,0.5,0.0
9,9,MW-BE-1s,2016-12-31,347.1198543830203,2017,787.5,2017-12-31,370.6401593721496,2018,730.0,2018-12-31,568.6531861795472,2019,710.0,2019-12-31,781.6200648811824,2020,652.5,2020-12-31,880.7107222555913,2020-10-22,650.0,82590.50360110348
10,10,MW-62d,2016-12-31,0.5,2017,0.5,2017-12-31,0.5,2018,0.5,2018-12-31,0.5,2019,0.5,2019-12-31,0.5,2020,0.5,2020-12-31,0.5,2020-11-20,0.5,0.0
11,11,2652 Dexter Rd,2007-12-31,0.5,2008,15.5,2008-12-31,0.5,2009,17.0,2009-12-31,0.5,2010,17.5,2010-12-31,0.5,2011,1.25,2011-12-31,0.5,2011-11-08,0.5,157.3625
12,12,MW-87s,2013-12-31,2093.0008221758567,2014,747.5,2014-12-31,2939.978384717949,2015,1002.5,2015-12-31,3783.1447371076138,2016,845.0,2016-12-31,4622.691127319318,2017,470.0,2017-12-31,5458.817973933029,2017-02-02,470.0,11266007.565174438
